English,Portuguese
spot,ver
allow,permitir
several,diversos
aren't,não são
during,durante
empty,vazio
lady,senhora
eyebrow,sobrancelha
strange,estranho
coffee,café
road,estrada
threw,jogou
wide,largo
bus,ônibus
forget,esquecer
gotten,pego
smell,cheiro
fear,temer
press,imprensa
boyfriend,namorado
blonde,loiro
throw,lançar
round,redondo
sun,sol
tall,alto
glad,alegre
age,idade
write,escrever
upon,sobre
hide,esconder
became,tornou-se
crowd,multidão
rain,chuva
save,salvar
trouble,dificuldade
annoy,irritar
nose,nariz
weird,esquisito
death,morte
beat,bater
tone,tom
trip,viagem
six,seis
control,controlar
nearly,aproximadamente
consider,considerar
gonna,vai
join,juntar
learn,aprender
above,acima
hi,oi
obviously,obviamente
entire,inteiro
direction,direção
foot,pé
angry,nervoso
power,poder
strong,forte
quick,rápido
doctor,doutor
edge,borda
song,canção
asleep,dormindo
twenty,vinte
barely,por muito pouco
remain,permanecer
child,criança
enjoy,aproveitar
gun,pistola
slow,lento
city,cidade
broke,quebrado
key,chave
lead,liderar
throat,garganta
normal,normal
you'd,você
somewhere,em algum lugar
wake,acordar
pair,par
sky,céu
funny,engraçado
business,negócios
student,estudante
giggle,rir
bright,brilhante
admit,admitir
jeans,jeans
given,dado
children,crianças
store,loja
sweet,doce
low,baixo
climb,escalar
rub,esfregar
apartment,apartamento
knee,joelho
shoe,sapato
attack,ataque
bedroom,quarto
joke,piada
spent,gasto
situation,situação
stuck,preso
gently,suavemente
possible,possível
cell,célula
mention,menção
silent,silencioso
definitely,definitivamente
rush,correr
hung,pendurado
brush,escovar
perhaps,talvez
groan,gemido
ass,bunda
rock,pedra
card,cartão
lose,perder
blush,corar
besides,além do mais
crazy,louco
type,tipo
bore,chato
afraid,com medo
chase,perseguir
respond,responder
marry,casar
remind,lembrar
pack,pacote
daughter,filha
serious,sério
girlfriend,namorada
mad,louco
somehow,de alguma forma
buy,comprar
sent,enviado
tight,apertado
simply,simplesmente
trust,confiar
imagine,imaginar
wind,vento
chuckle,rir
bar,bar
pink,rosa
shove,empurrão
ball,bola
sight,visão
drag,arrastar
they'd,eles
human,humano
truth,verdade
share,compartilhar
area,área
concern,preocupação
shouldn't,não deveria
team,equipe
escape,escapar
mumble,resmungar
often,muitas vezes
search,procurar
apparently,aparentemente
attempt,tentar
son,filho
within,dentro de
band,banda
cute,bonitinho
led,liderado
memory,memória
anger,raiva
fly,voar
paint,pintar
bottle,garrafa
busy,ocupado
comment,comentário
exclaim,exclamar
avoid,evitar
grow,crescer
grey,cinza
mirror,espelho
gasp,suspiro
hallway,corredor
dear,querido
star,estrela
sick,doente
cat,gato
counter,contador
interrupt,interromper
none,nenhum
blink,piscar
spend,gastar
usual,habitual
worse,pior
locker,armário
important,importante
favorite,favorito
grip,pegada
TV,TV
ice,gelo
pretend,fingir
settle,resolver
amaze,surpreender
pop,pop
disappear,desaparecer
carefully,com cuidado
train,trem
stick,grudar
guard,guarda
teeth,dentes
flash,clarão
uncle,tio
send,enviar
doubt,dúvida
visit,visita
nervous,nervoso
excite,excitar
approach,abordagem
excuse,desculpa
fit,ajustar
noise,barulho
study,estudar
letter,carta
police,polícia
eventually,eventualmente
burn,queimar
field,campo
hospital,hospital
tie,gravata
summer,verão
huh,huh
shift,mudança
self,auto
hurry,pressa
greet,saudar
wife,esposa
position,posição
we've,nós temos
wipe,limpar
heavy,pesado
slam,bater
broken,quebrado
complete,completo
space,espaço
brain,cérebro
tiny,pequeno
pants,calça
ah,ah
punch,soco
shower,banho
tongue,língua
afternoon,tarde
seriously,seriamente
cup,xícara
further,avançar
race,corrida
recognize,reconhecer
computer,computador
rang,tocou
safe,seguro
jacket,jaqueta
bottom,fundo
hundred,centenas
relax,relaxar
sudden,repentino
wow,uau
college,faculdade
flip,virar
mood,humor
track,acompanhar
crack,rachadura
block,bloquear
handle,lidar
themselves,eles mesmos
drove,dirigiu
seven,Sete
struggle,luta
whether,se
ahead,à frente
sad,triste
dry,seco
women,mulheres
focus,foco
repeat,repita
thick,espesso
relationship,relação
jerk,idiota
present,presente
suck,chupar
bell,sino
surround,cercar
evening,noite
bite,morder
single,solteiro
fault,falta
shadow,sombra
wood,madeira
easily,facilmente
woke,acordou
smoke,fumaça
draw,empate
suggest,sugerir
wet,molhado
accept,aceitar
third,terceiro
totally,totalmente
wore,vestiu
breakfast,café da manhã
trail,trilha
animal,animal
warn,avisar
aunt,tia
sir,senhor
piss,mijo
burst,explodido
match,corresponder
fix,consertar
practically,praticamente
